,generator,base_0,base_1,base_2,base_3,base_4
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-34.jpg,dream,0.05,0.12250000000000001,0.0975,0.24500000000000002,0.025
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-85.jpg,dream,0.0975,0.29500000000000004,0.24500000000000002,0.4175,0.12250000000000001
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-83.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-81.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-69.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-8.jpg,dream,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-61.jpg,dream,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-65.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-3.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-41.jpg,dream,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-99.jpg,dream,0.205,0.0025000000000000022,0.0775,0.075,0.155
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-91.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-2.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-38.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-59.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-10.jpg,dream,0.075,0.3225,0.2475,0.42000000000000004,0.15
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-24.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-19.jpg,dream,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-20.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-32.jpg,dream,0.12250000000000001,0.34500000000000003,0.29500000000000004,0.46749999999999997,0.17250000000000001
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-87.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-94.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-29.jpg,dream,0.0775,0.15,0.075,0.2475,0.0025000000000000022
